Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score
512,Female,19,7,7,94,8,91,Yes,Low,89.6
513,Male,18,2,5,93,1,92,Yes,High,70.7
514,Female,17,3,4,69,8,57,Yes,High,48.5
515,Female,21,1,6,94,7,89,No,High,74.8
516,Male,18,8,6,70,8,55,No,High,81.0
517,Female,18,9,7,70,3,80,Yes,Medium,100.0
518,Female,17,4,6,80,0,57,No,Medium,66.8
519,Female,18,6,5,80,0,61,Yes,High,87.4
520,Female,21,9,4,81,4,41,Yes,Medium,80.7
521,Female,18,6,5,66,1,60,Yes,High,63.8
522,Male,21,9,8,76,7,75,Yes,High,93.8
523,Female,17,4,7,61,9,83,No,Low,72.5
524,Male,19,8,6,71,4,78,No,High,101.5
525,Female,18,9,8,77,4,86,No,Medium,110.5
526,Male,19,4,6,70,1,78,No,High,78.2
527,Male,21,5,4,75,6,68,Yes,Low,67.7
528,Female,18,8,4,77,7,93,No,Medium,92.3
529,Female,20,6,4,94,9,65,Yes,Low,74.2
530,Female,19,7,6,85,0,60,Yes,Low,91.5
531,Male,18,3,8,75,1,56,No,High,63.9
532,Female,19,7,4,65,9,55,Yes,Low,73.5
533,Male,18,8,8,71,3,70,No,Low,79.3
534,Male,17,6,6,72,4,90,No,Medium,96.6
535,Male,19,9,8,63,1,48,No,Low,86.1
536,Female,20,6,6,98,0,70,No,High,80.4
537,Female,20,9,6,61,8,53,No,High,78.5
538,Male,21,4,7,85,0,88,Yes,High,82.7
539,Male,18,8,6,86,3,76,No,Low,100.2
540,Female,19,4,6,86,1,41,No,Medium,57.2
541,Male,21,2,5,74,3,91,Yes,High,58.6
542,Female,19,9,4,67,7,87,No,Low,107.9
543,Male,18,5,7,66,7,85,No,High,80.8
544,Female,20,4,7,99,8,53,Yes,High,65.9
545,Male,17,2,7,71,4,72,Yes,Medium,64.1
546,Female,20,1,5,72,6,74,No,High,61.2
547,Male,21,7,6,76,2,78,Yes,Medium,94.0
548,Female,17,6,4,76,9,86,No,Low,86.2
549,Female,21,2,8,95,3,90,Yes,High,72.5
550,Male,18,8,6,80,9,59,No,Low,85.6
551,Male,17,4,5,67,8,41,No,Low,62.5
552,Female,21,8,6,64,9,90,No,Low,101.2
553,Male,18,7,6,85,9,80,Yes,High,98.5
554,Female,20,5,5,75,0,58,No,Medium,71.7
555,Male,18,8,7,95,1,76,Yes,High,100.9
556,Female,19,9,7,87,4,57,No,Low,94.9
557,Female,18,5,4,88,2,55,No,Medium,76.4
558,Female,18,5,4,71,1,43,No,Low,62.5
559,Female,19,2,7,96,0,51,No,Medium,67.2
560,Female,21,5,8,89,9,68,No,High,69.9
561,Female,21,3,6,82,2,46,Yes,Medium,51.0
562,Male,18,7,8,75,0,53,Yes,High,86.7
563,Male,19,5,6,73,0,94,Yes,Low,80.5
564,Male,19,8,7,69,0,51,No,Medium,85.1
565,Female,20,1,4,66,7,74,No,Low,58.4
566,Female,21,3,4,96,2,44,Yes,Medium,56.4
567,Female,17,3,8,88,0,56,No,High,55.8
568,Female,21,9,4,62,6,81,No,Medium,91.0
569,Male,21,5,7,74,9,71,No,Medium,80.6
570,Male,20,9,8,95,2,49,Yes,High,84.1
571,Female,17,9,6,78,7,82,Yes,High,97.2
572,Male,20,1,4,72,3,56,Yes,High,49.0
573,Male,17,2,5,80,3,44,Yes,Medium,47.6
574,Female,18,5,4,96,4,84,Yes,Low,80.4
575,Male,17,4,6,86,5,81,No,Medium,87.2
576,Female,20,9,8,88,6,48,No,Medium,86.6
577,Male,21,7,6,79,3,88,No,Low,86.9
578,Female,17,6,5,84,7,72,No,High,85.0
579,Female,17,7,7,65,5,75,Yes,Medium,78.5
580,Female,19,1,4,95,0,75,Yes,Low,71.5
581,Female,21,1,8,61,0,57,No,High,40.1
582,Male,18,8,7,81,8,48,Yes,High,91.5
583,Female,20,2,6,91,9,68,No,Medium,56.5
584,Female,18,9,8,75,5,89,No,High,103.1
585,Female,21,7,7,77,9,53,No,High,75.3
586,Male,17,6,8,64,7,64,No,Low,80.8
587,Female,17,1,5,95,6,54,Yes,Low,53.1
588,Male,21,1,5,89,5,45,No,High,47.7
589,Female,17,2,4,78,3,81,Yes,Low,64.8
590,Male,17,6,4,82,6,68,No,High,83.8
591,Male,17,6,5,93,8,54,No,Medium,83.5
592,Female,20,2,8,72,9,68,No,Low,52.8
593,Male,20,1,5,88,9,43,No,High,40.6
594,Female,19,5,4,95,6,57,Yes,High,73.3
595,Female,18,5,5,81,0,89,No,Low,93.9
596,Female,21,2,5,95,9,88,Yes,Low,72.7
597,Male,21,6,8,68,8,83,No,Medium,85.6
598,Male,21,9,7,98,3,78,No,High,97.6
599,Female,19,2,4,78,2,55,No,Medium,52.4
600,Female,20,2,8,97,3,50,Yes,Medium,57.1
601,Male,19,3,5,65,3,53,No,Medium,56.7
602,Female,21,7,5,74,9,42,No,Low,74.0
603,Female,18,6,7,79,1,90,No,Medium,80.7
604,Female,17,8,4,68,0,89,No,Low,103.0
605,Male,20,8,4,91,9,81,No,Low,97.7
606,Male,20,6,6,63,0,77,Yes,Medium,70.7
607,Male,19,3,4,77,7,84,Yes,Medium,62.7
608,Female,20,3,7,64,1,81,No,High,58.6
609,Female,21,1,6,79,9,57,No,Medium,56.5
610,Female,21,7,6,82,4,59,Yes,High,91.2
611,Male,19,5,5,70,3,87,No,Medium,73.8
612,Female,21,4,5,96,7,64,Yes,Medium,81.4
613,Female,18,4,4,81,1,77,No,Medium,84.1
614,Female,19,4,6,63,9,52,No,Medium,66.7
615,Female,18,6,5,88,8,43,Yes,High,72.6
616,Male,17,8,7,93,6,94,No,High,105.5
617,Male,18,8,5,72,6,53,Yes,Medium,88.8
618,Female,17,5,5,68,0,72,Yes,Medium,83.2
619,Male,17,6,6,90,1,67,Yes,High,88.8
620,Male,18,4,6,66,3,91,No,Low,85.2
621,Female,19,9,8,63,3,76,Yes,Low,96.3
622,Female,21,8,7,78,2,47,Yes,Low,73.2
623,Male,21,1,6,89,6,83,No,High,55.9
624,Female,17,2,4,90,7,73,No,High,69.2
625,Male,17,9,7,94,1,83,No,Low,99.4
626,Female,19,8,7,80,3,44,No,Low,87.6
627,Male,20,3,6,90,2,93,No,Medium,81.2
628,Female,18,8,7,78,1,44,No,High,74.0
629,Male,17,1,6,90,5,70,Yes,High,52.0
630,Male,21,4,5,91,3,84,No,Low,81.9
631,Male,19,3,8,61,5,48,Yes,Low,49.5
632,Female,18,6,5,69,1,81,No,High,74.1
633,Male,19,7,6,61,3,71,Yes,Medium,76.7
634,Male,18,4,6,61,5,72,Yes,Low,66.1
635,Female,18,7,5,83,4,42,No,High,77.7
636,Female,17,9,4,76,2,69,No,High,94.4
637,Male,19,2,4,91,7,89,Yes,Medium,71.9
638,Male,19,3,4,75,6,51,No,Medium,49.9
639,Female,21,5,6,75,2,68,No,Low,83.7
640,Female,21,3,7,98,5,42,Yes,Low,60.2
641,Female,17,8,6,90,3,65,Yes,Low,91.0
642,Female,17,8,7,83,4,69,Yes,High,101.5
643,Female,20,8,5,60,4,48,No,Low,85.2
644,Male,21,9,8,70,6,65,No,High,95.0
645,Female,18,4,7,80,4,41,No,Low,51.4
646,Male,19,5,4,63,2,42,No,Medium,54.7
647,Male,17,5,6,66,9,85,Yes,Medium,87.8
648,Male,19,8,5,85,4,43,No,High,79.7
649,Female,19,7,4,71,6,64,Yes,Medium,77.9
650,Male,20,9,5,90,4,90,No,High,103.0
651,Male,21,8,8,76,4,52,No,High,83.6
652,Female,17,2,6,92,8,78,Yes,Medium,69.8
653,Male,19,4,6,70,2,83,No,High,81.2
654,Male,17,6,8,87,5,74,No,Medium,93.7
655,Female,18,2,6,91,0,94,Yes,Low,73.9
656,Male,20,7,7,60,9,62,No,Low,80.8
657,Male,18,3,5,87,4,48,Yes,Medium,52.3
658,Male,17,3,4,66,7,41,Yes,Medium,58.2
659,Female,17,2,8,61,4,93,Yes,Medium,69.5
660,Female,21,8,7,83,8,80,Yes,Medium,91.9
661,Female,19,6,4,63,5,83,No,Low,81.1
662,Male,19,1,4,78,7,70,No,High,57.4
663,Male,18,1,8,85,9,83,No,High,59.7
664,Female,20,7,7,70,7,86,Yes,Low,96.4
665,Male,19,8,4,99,2,41,No,High,76.1
666,Male,21,5,4,70,6,71,No,Low,81.4
667,Female,18,5,7,62,6,57,No,High,70.4
668,Female,18,4,6,71,9,52,No,Medium,70.1
669,Male,21,6,4,62,5,85,Yes,Medium,72.6
670,Male,20,6,5,86,6,44,Yes,Medium,67.4
671,Male,21,3,7,61,1,81,No,Low,69.7
672,Female,20,9,4,75,8,83,Yes,Low,92.7
673,Female,21,7,8,61,9,49,No,High,62.9
674,Female,21,1,5,89,9,82,No,High,61.5
675,Female,17,7,4,79,0,64,No,High,85.3
676,Male,18,5,5,97,0,73,Yes,Low,91.3
677,Female,21,5,5,87,2,76,No,High,82.5
678,Female,21,2,6,84,2,69,Yes,Medium,64.8
679,Female,19,4,5,91,0,46,Yes,High,55.7
680,Female,18,6,6,69,6,45,No,Medium,76.7
681,Female,19,7,7,99,3,93,Yes,Low,96.9
682,Male,18,5,6,92,9,94,Yes,Medium,87.2
683,Male,19,9,8,72,1,42,No,Medium,76.4
684,Female,21,3,4,96,9,52,Yes,Medium,58.6
685,Male,21,1,7,75,4,42,Yes,Low,40.3
686,Female,17,4,7,81,5,65,No,Low,63.3
687,Female,19,9,8,79,8,63,No,Low,102.9
688,Male,20,4,6,86,3,92,Yes,Low,75.6
689,Male,17,2,4,75,1,45,No,High,54.5
690,Female,19,5,6,93,4,82,No,Low,79.7
691,Female,19,3,5,91,2,88,Yes,Medium,75.5
692,Female,17,9,6,85,1,81,Yes,Low,93.9
693,Male,21,4,7,84,0,51,No,High,61.6
694,Female,19,6,4,61,9,88,Yes,High,89.5
695,Female,21,2,6,71,1,75,No,High,66.3
696,Female,17,6,4,99,5,41,No,Medium,82.1
697,Male,21,3,4,68,7,50,Yes,Low,64.4
698,Female,18,9,5,71,2,78,Yes,Low,88.5
699,Female,20,2,5,85,8,73,No,Low,64.7
700,Male,19,9,7,68,8,65,No,Medium,82.4
701,Female,20,5,8,69,1,57,No,Medium,58.5
702,Female,21,8,4,91,7,60,No,High,82.3
703,Male,19,2,8,93,9,75,Yes,High,65.9
704,Female,21,6,7,79,4,79,No,Low,76.3
705,Male,18,3,4,98,3,91,Yes,Medium,84.8
706,Male,17,5,4,61,9,85,Yes,Medium,76.3
707,Female,19,8,8,60,4,83,No,Low,95.2
708,Female,18,1,6,95,3,61,Yes,Low,56.9
709,Female,18,5,5,83,7,92,Yes,High,92.7
710,Female,19,3,6,86,3,69,No,High,66.4
711,Male,21,4,8,61,9,89,Yes,High,80.9
712,Female,18,2,5,90,5,82,Yes,Low,62.8
713,Male,20,9,6,73,1,69,No,Low,92.5
714,Female,18,3,5,61,4,47,No,High,57.1
715,Female,21,2,4,88,5,73,No,High,58.6
716,Female,21,9,6,74,4,86,No,Medium,106.6
717,Male,20,7,5,71,1,48,No,Medium,83.5
718,Female,18,6,5,96,6,90,No,High,84.8
719,Female,21,1,5,87,3,59,No,High,49.7
720,Female,19,5,6,79,7,79,Yes,Medium,79.3
721,Female,17,3,7,98,6,64,Yes,High,75.0
722,Male,17,1,6,83,6,58,No,Medium,46.1
723,Female,17,4,8,80,8,44,Yes,Medium,63.6
724,Male,18,2,6,69,0,50,Yes,Medium,55.7
725,Male,20,2,5,73,9,54,No,Low,62.5
726,Male,21,3,4,96,5,47,Yes,Low,57.6
727,Male,19,8,6,77,5,58,No,High,86.3
728,Male,19,8,6,83,5,62,Yes,Medium,81.7
729,Male,18,7,5,73,5,66,No,Low,92.3
730,Female,17,6,4,93,9,79,Yes,High,88.5
731,Male,18,9,4,71,6,71,Yes,High,84.7
732,Male,20,4,8,81,9,65,Yes,High,79.3
733,Male,20,1,6,65,5,66,No,High,50.9
734,Female,21,8,4,95,0,58,Yes,High,92.7
735,Female,21,7,4,95,2,89,Yes,Medium,102.1
736,Male,20,7,7,81,1,81,No,High,88.7
737,Female,20,3,7,73,5,68,No,Medium,64.1
738,Male,20,4,4,75,7,78,Yes,Low,66.7
739,Male,18,9,8,95,2,80,Yes,High,101.5
740,Female,20,6,4,84,9,72,Yes,Low,83.0
741,Male,19,5,5,91,7,58,Yes,Medium,83.5
742,Female,17,3,6,92,7,76,No,Medium,66.0
743,Female,20,9,8,95,4,58,Yes,Low,87.7
744,Male,17,5,5,79,7,72,Yes,High,84.5
745,Male,18,5,8,77,5,86,No,High,85.5
746,Female,17,4,5,97,4,55,Yes,Low,76.1
747,Male,18,4,6,62,8,62,Yes,Low,63.4
748,Male,19,1,6,82,6,46,Yes,Low,47.0
749,Male,18,7,7,91,7,65,No,High,94.3
750,Female,18,9,5,75,0,71,No,High,98.9
751,Female,21,3,7,64,1,51,Yes,High,47.6
752,Male,20,2,5,63,7,47,Yes,Low,55.7
753,Female,20,3,7,80,8,44,No,High,47.6
754,Female,19,1,6,99,3,81,Yes,Medium,63.1
755,Female,19,6,8,73,9,67,Yes,Low,76.7
756,Female,20,7,7,98,9,92,No,High,109.2
757,Female,21,2,5,90,8,44,No,Low,59.6
758,Male,20,8,5,73,3,88,No,Medium,102.1
759,Male,21,6,6,65,9,65,Yes,Medium,82.5
760,Male,19,4,5,71,9,44,Yes,Low,58.9
761,Female,17,5,4,75,9,61,Yes,Low,67.9
762,Female,19,8,8,76,8,54,Yes,Medium,82.4
763,Male,19,3,7,82,6,52,No,Low,53.4
764,Female,18,3,8,73,1,67,Yes,Medium,65.7
765,Male,18,4,6,66,8,72,Yes,Medium,61.6
766,Male,18,1,7,91,3,82,No,High,73.1
767,Male,18,9,7,74,7,62,No,Low,83.0
768,Female,21,8,4,76,6,72,Yes,Low,89.6
769,Female,20,8,6,93,6,82,No,High,101.7
770,Male,17,6,5,64,7,57,No,Medium,63.0
771,Male,19,7,4,86,0,89,Yes,Low,91.4
772,Male,21,6,4,82,4,92,Yes,High,85.4
773,Male,17,9,8,99,1,69,Yes,High,96.3
774,Female,21,3,8,73,1,65,Yes,Low,71.9
775,Female,21,3,8,74,0,55,No,High,53.2
776,Male,19,3,4,92,4,52,No,Medium,56.4
777,Male,20,3,5,90,1,78,Yes,High,71.2
778,Female,18,9,7,94,3,72,Yes,Medium,101.0
779,Female,20,4,8,76,2,65,No,Medium,73.8
780,Male,19,7,5,87,2,87,Yes,Low,94.9
781,Male,19,9,6,78,1,40,Yes,High,83.4
782,Male,19,7,8,82,5,88,Yes,Medium,102.8
783,Female,17,9,7,91,1,77,Yes,Medium,102.1
784,Female,20,3,6,99,7,41,No,High,56.1
785,Female,20,4,6,72,7,88,Yes,Medium,82.8
786,Male,21,8,7,79,4,45,No,High,75.7
787,Male,21,6,8,94,9,85,Yes,Low,87.2
788,Female,21,5,4,64,6,89,Yes,Medium,83.8
789,Female,19,4,7,68,3,77,No,Medium,79.2
790,Male,20,8,7,88,0,81,Yes,High,105.8
791,Female,19,1,7,65,1,63,No,High,42.7
792,Female,17,9,6,84,9,57,Yes,High,90.0
793,Male,21,1,5,90,9,66,Yes,High,63.4
794,Female,19,8,4,81,3,80,Yes,Medium,104.3
795,Male,19,4,8,61,0,47,Yes,Low,66.1
796,Male,17,9,8,64,7,67,Yes,Low,83.0
797,Male,18,5,5,86,8,49,No,Low,69.4
798,Male,20,3,7,84,3,56,No,Low,53.6
799,Male,18,9,4,67,9,94,Yes,High,95.7
800,Male,21,9,8,60,2,68,Yes,Medium,85.2
801,Male,19,4,8,79,1,45,No,Medium,61.7
802,Female,17,4,7,82,4,53,No,Medium,68.8
803,Male,17,8,5,91,2,61,Yes,High,96.7
804,Male,20,2,4,70,9,93,Yes,Medium,76.2
805,Female,18,9,5,98,6,45,No,High,83.4
806,Female,20,6,5,83,5,65,Yes,Medium,86.9
807,Female,19,9,4,70,0,78,No,Low,95.2
808,Male,20,8,4,88,7,51,Yes,High,92.8
809,Female,17,7,8,85,1,74,No,Medium,94.1
810,Male,17,1,8,75,4,53,No,Low,44.7
811,Male,21,3,4,94,8,61,Yes,Low,75.6
812,Male,21,2,6,79,7,90,No,Low,61.7
813,Male,19,5,8,62,1,62,Yes,High,58.4
814,Female,18,5,6,60,8,87,Yes,High,70.8
815,Female,20,5,4,60,4,46,Yes,Medium,68.4
816,Male,19,4,8,76,9,79,Yes,Low,71.4
817,Male,21,5,5,61,5,89,No,Medium,86.9
818,Male,20,3,4,88,2,64,Yes,Medium,62.0
819,Female,21,1,7,79,2,52,Yes,Low,39.5
820,Male,20,5,6,65,9,60,Yes,Medium,65.5
821,Male,18,9,4,67,7,80,Yes,High,87.1
822,Female,19,9,4,88,9,49,No,Medium,99.0
823,Female,20,4,8,92,9,92,Yes,Low,84.4
824,Male,17,3,8,62,1,94,No,High,75.2
825,Female,17,1,8,94,1,48,No,High,52.4
826,Female,20,2,7,64,4,54,No,Medium,58.8
827,Male,20,8,8,86,5,91,Yes,Medium,101.2
828,Female,20,1,4,71,1,41,Yes,High,43.7
829,Male,17,8,8,79,4,64,Yes,Medium,79.3
830,Female,17,7,5,79,6,52,Yes,Low,75.5
831,Male,20,8,8,68,9,73,No,Medium,95.6
832,Male,21,6,7,98,9,90,No,Medium,94.4
833,Male,21,9,5,63,7,73,Yes,High,88.1
834,Female,18,3,4,78,6,74,Yes,Medium,74.0
835,Male,19,4,4,97,7,77,Yes,Medium,86.9
836,Female,21,6,6,86,8,42,Yes,Medium,66.6
837,Male,17,8,5,72,4,81,Yes,Low,101.0
838,Male,21,5,6,72,4,45,Yes,Medium,70.6
839,Female,18,3,5,81,9,94,Yes,Low,81.9
840,Male,18,6,5,87,3,87,No,Low,87.9
841,Male,19,4,7,81,8,88,No,Low,81.5
842,Female,21,9,6,78,4,58,No,Low,96.6
843,Male,17,3,7,67,1,42,No,High,51.9
844,Male,17,4,5,67,9,57,Yes,Low,57.9
845,Male,20,7,4,85,7,78,Yes,Medium,83.7
846,Male,17,7,5,85,6,48,Yes,Low,69.7
847,Female,19,4,7,82,7,91,Yes,Medium,88.0
848,Female,19,6,6,72,2,51,Yes,Low,66.0
849,Male,17,3,6,87,3,44,No,High,60.7
850,Female,17,6,7,68,4,42,Yes,Low,66.2
851,Male,20,2,6,79,5,50,No,Low,47.7
852,Female,17,8,8,78,0,69,Yes,High,94.0
853,Male,20,2,4,98,3,43,No,Low,62.6
854,Male,20,7,4,71,9,44,Yes,Medium,63.9
855,Male,17,9,4,74,4,40,No,Low,74.2
856,Male,18,1,6,90,6,66,Yes,Low,54.4
857,Male,18,8,6,73,4,67,Yes,Low,87.7
858,Male,20,7,5,70,0,68,Yes,High,92.2
859,Female,17,6,5,85,6,57,Yes,Low,74.3
860,Male,18,6,4,86,7,51,No,Low,81.2
861,Female,17,6,8,70,6,52,Yes,Medium,65.8
862,Male,17,9,5,97,3,80,No,Low,107.1
863,Female,17,2,5,93,7,41,Yes,Low,60.3
864,Female,21,1,6,78,4,76,No,Low,63.8
865,Female,17,6,8,65,9,84,Yes,Low,92.1
866,Male,21,8,4,97,8,55,Yes,Medium,96.1
867,Male,20,3,5,87,9,87,No,Medium,83.9
868,Female,18,1,8,60,4,63,Yes,High,52.2
869,Male,18,9,8,94,0,74,Yes,Low,103.8
870,Female,18,1,4,99,8,61,No,High,58.1
871,Male,18,3,8,67,4,75,Yes,High,56.1
872,Female,18,8,8,66,5,50,No,Low,75.8
873,Female,18,3,8,70,3,94,Yes,Medium,75.6
874,Male,18,4,5,98,5,85,No,Medium,75.4
875,Female,20,8,4,63,7,68,No,Low,90.1
876,Male,17,1,8,84,2,74,No,Low,49.8
877,Female,19,6,8,71,4,87,No,Medium,78.1
878,Female,21,1,5,85,1,93,Yes,Low,66.7
879,Male,19,1,4,97,1,54,Yes,Low,59.7
880,Male,19,8,6,71,6,70,No,Low,84.3
881,Male,17,4,5,96,9,81,Yes,Medium,90.2
882,Female,17,1,4,83,9,80,Yes,High,65.9
883,Male,17,7,8,75,9,82,Yes,High,86.3
884,Female,18,5,4,72,5,55,No,Low,62.6
885,Female,20,5,4,84,3,49,Yes,Medium,62.8
886,Male,18,1,4,63,4,88,Yes,Low,66.1
887,Male,20,6,6,70,0,71,No,Medium,71.4
888,Female,20,9,4,91,6,90,Yes,Low,114.3
889,Female,19,9,6,66,7,41,No,Medium,88.2
890,Male,19,8,8,70,8,63,No,Medium,93.2
891,Male,20,5,6,87,7,62,No,High,66.9
892,Male,20,1,8,82,4,41,Yes,Low,48.0
893,Male,18,9,8,82,2,77,Yes,High,104.4
894,Male,18,1,6,87,9,70,No,High,53.1
895,Female,19,8,5,85,8,90,No,Medium,93.5
896,Female,17,5,7,84,5,79,No,Low,75.8
897,Female,20,3,4,88,4,65,No,Medium,61.4
898,Female,18,7,7,78,2,68,No,Medium,79.6
899,Male,19,7,4,92,5,42,No,Medium,71.4
900,Male,18,9,4,95,2,53,Yes,Low,86.7
901,Male,20,7,8,73,9,64,No,Low,91.5
902,Female,20,3,4,73,5,87,No,Medium,78.7
903,Female,21,1,4,94,3,40,No,Low,58.2
904,Male,17,8,6,89,1,92,Yes,Medium,96.5
905,Male,21,3,7,87,7,42,Yes,Low,47.9
906,Female,19,8,6,76,3,93,Yes,Low,105.0
907,Female,18,8,4,62,8,65,Yes,High,81.6
908,Male,19,5,8,75,6,57,No,Medium,76.3
909,Male,20,1,6,89,1,48,Yes,High,47.9
910,Female,21,7,6,88,3,77,No,High,88.2
911,Male,21,5,5,74,4,62,No,Medium,69.0
912,Male,21,8,4,84,2,60,No,Medium,90.2
913,Male,19,9,8,97,8,40,No,Low,95.1
914,Female,20,7,6,97,4,60,No,Medium,89.1
915,Female,18,7,6,82,1,66,No,High,94.0
916,Female,18,1,8,84,2,81,Yes,High,61.6
917,Female,19,4,4,66,8,45,Yes,Medium,53.8
918,Female,21,2,5,81,6,94,Yes,High,72.9
919,Female,17,2,6,76,1,83,Yes,Low,75.0
920,Female,19,2,5,77,8,75,Yes,High,57.1
921,Male,19,4,7,69,3,67,No,Low,72.5
922,Male,20,1,4,69,8,84,Yes,High,57.3
923,Male,18,4,7,66,1,56,Yes,Low,58.2
924,Male,19,2,7,97,9,79,Yes,Low,79.7
925,Male,19,5,7,86,3,91,No,Medium,90.2
926,Male,21,3,4,92,4,42,No,Low,59.4
927,Male,21,8,4,60,1,51,No,Medium,74.4
928,Female,17,4,8,93,9,78,Yes,High,78.1
929,Female,20,1,5,63,0,51,Yes,High,42.3
930,Male,17,1,5,76,6,41,Yes,High,37.2
931,Male,21,3,8,63,9,85,Yes,Low,72.9
932,Female,18,9,8,85,0,61,Yes,High,93.9
933,Male,21,7,7,63,7,62,No,High,86.7
934,Male,20,2,8,60,2,69,Yes,Medium,61.6
935,Female,21,9,6,66,9,44,No,Medium,80.4
936,Male,20,2,5,89,5,48,Yes,High,57.9
937,Female,20,3,8,68,6,60,No,High,49.4
938,Male,20,2,6,94,9,50,No,Low,49.2
939,Female,20,3,6,67,0,44,No,Low,54.7
940,Female,20,6,6,83,5,74,No,High,82.5
941,Female,18,9,6,78,6,66,Yes,Medium,90.8
942,Male,17,9,7,95,5,88,Yes,High,113.7
943,Female,19,7,6,86,3,41,Yes,Low,85.2
944,Male,17,3,7,91,0,63,No,Medium,63.5
945,Male,20,4,7,73,8,70,Yes,Medium,64.9
946,Male,18,6,6,77,3,72,Yes,Low,88.9
947,Male,21,5,5,87,6,78,Yes,High,90.3
948,Female,18,2,6,88,6,69,Yes,High,64.0
949,Female,20,6,6,75,1,85,No,High,87.5
950,Male,18,3,6,94,0,76,No,Low,72.6
951,Male,18,8,5,90,7,90,Yes,Medium,105.0
952,Female,20,2,4,63,7,67,Yes,Low,56.7
953,Male,18,1,4,96,6,70,Yes,High,60.8
954,Female,19,9,7,76,7,50,No,Low,96.8
955,Male,19,3,7,98,2,62,No,Medium,76.2
956,Male,18,1,5,85,1,41,No,Low,39.9
957,Female,21,7,8,98,6,79,Yes,High,90.0
958,Male,20,5,4,63,7,80,No,Medium,69.9
959,Female,19,5,7,89,0,66,No,Low,79.1
960,Male,21,1,4,89,9,74,No,Low,53.3
961,Male,18,9,5,81,8,41,No,Medium,82.7
962,Male,21,7,5,70,3,78,No,Medium,78.2
963,Female,17,8,8,61,3,76,Yes,High,95.7
964,Male,19,9,8,71,2,60,Yes,Medium,88.3
965,Male,18,6,5,89,5,44,Yes,High,76.3
966,Male,20,5,7,95,0,91,Yes,Low,85.9
967,Male,18,6,4,77,5,84,No,High,85.7
968,Female,20,2,6,85,1,60,Yes,Low,57.5
969,Female,18,4,8,66,8,68,Yes,Medium,71.0
970,Male,21,3,6,60,1,59,Yes,Low,50.6
971,Female,21,7,7,85,6,77,No,Medium,92.3
972,Male,21,9,8,82,0,59,Yes,Low,83.2
973,Male,17,5,6,85,6,89,No,Low,87.1
974,Male,20,6,7,65,4,64,No,Low,70.1
975,Female,21,2,4,65,7,41,No,Low,53.9
976,Female,17,3,7,67,3,71,Yes,High,71.5
977,Female,20,3,8,83,9,65,No,Low,70.9
978,Female,18,9,5,81,6,45,Yes,High,95.3
979,Female,17,7,4,78,5,80,Yes,Medium,82.4
980,Female,19,8,6,96,4,42,Yes,Medium,84.6
981,Female,17,9,8,77,3,72,No,High,103.9
982,Female,17,6,5,90,6,40,No,Medium,75.0
983,Female,20,4,7,96,4,90,Yes,Medium,91.8
984,Male,18,1,5,89,4,44,No,Low,41.3
985,Female,19,8,8,92,0,52,No,Low,80.4
986,Female,21,7,8,69,1,58,No,Low,79.9
987,Female,21,2,5,96,4,51,Yes,High,68.2
988,Female,17,8,7,71,2,87,No,High,92.1
989,Female,20,5,5,89,1,64,No,Medium,74.3
990,Female,20,7,8,86,3,90,Yes,Low,94.8
991,Female,21,4,8,98,3,74,No,High,82.0
992,Female,19,5,6,68,3,51,Yes,High,59.8
993,Female,18,8,6,80,3,69,No,Low,99.6
994,Female,19,1,4,71,2,44,No,High,48.9
995,Female,18,1,8,88,6,73,No,Low,61.6
996,Male,21,4,6,92,8,61,No,Medium,65.0
997,Male,18,3,5,74,4,78,No,Medium,65.4
998,Female,20,2,7,61,3,52,No,Medium,45.1
999,Female,17,3,5,98,1,86,Yes,Low,82.8
1000,Male,17,1,7,77,1,93,No,High,60.3
1001,Female,21,1,6,62,4,42,No,Medium,34.4
1002,Male,20,6,4,66,6,92,No,Medium,89.6
1003,Male,19,5,5,77,9,59,Yes,Medium,73.7
1004,Male,20,8,5,97,9,70,Yes,High,96.1
1005,Male,17,2,5,96,8,44,Yes,High,63.4
1006,Male,17,4,7,92,6,63,No,Low,65.8
1007,Female,20,8,6,90,4,79,No,Medium,95.6
1008,Male,20,6,5,70,9,93,Yes,High,88.2
1009,Female,17,1,5,63,9,72,Yes,Low,58.7
1010,Female,19,4,4,77,9,47,Yes,Medium,68.9
1011,Male,21,1,4,63,5,63,No,High,49.1
1012,Male,21,2,6,93,2,89,Yes,High,78.5
1013,Female,20,5,6,88,4,59,No,Low,76.0
1014,Male,21,8,8,83,7,55,No,Medium,88.9
1015,Male,17,8,4,81,0,89,No,Medium,104.9
1016,Female,17,3,8,61,0,91,Yes,High,59.7
1017,Female,20,4,7,65,6,51,No,Medium,64.9
1018,Male,20,6,8,84,4,52,Yes,Low,80.0
1019,Female,20,3,5,80,4,84,Yes,High,67.6
1020,Male,19,2,8,75,0,81,Yes,High,65.9
1021,Male,21,6,6,90,8,78,Yes,Low,85.2
1022,Male,20,5,7,73,0,64,No,High,68.5
1023,Female,18,5,5,98,4,85,No,Medium,79.4
1024,Female,18,5,8,87,9,71,No,Medium,80.5
1025,Female,17,5,7,91,8,63,No,High,80.5
